index_id,candidate_id,confidence,need_judge
2,10502,5,False
3,10503,5,False
6,10506,5,False
9,10509,5,False
17,10517,5,False
19,10519,5,False
21,10521,5,False
25,10525,5,False
26,10526,5,False
31,10531,5,False
33,10533,5,False
47,10547,5,False
54,10554,5,False
55,10555,5,False
67,10567,5,False
73,10573,5,False
83,36009,1,True
84,19421,1,True
96,10596,5,False
107,10607,5,False
114,10614,5,False
115,10615,5,False
121,10621,5,False
134,10634,5,False
135,10635,5,False
137,10637,5,False
149,10649,5,False
161,10661,5,False
173,10673,5,False
178,10678,5,False
189,17482,1,True
192,10692,5,False
194,11197,1,True
196,10696,5,False
209,10709,5,False
210,10710,5,False
214,10714,5,False
215,10715,5,False
220,18808,1,True
226,31644,1,True
229,10729,5,False
232,10732,5,False
234,10734,5,False
239,10739,5,False
246,10746,5,False
251,10751,5,False
253,35423,3,True
265,18489,1,True
266,19664,1,True
280,10780,5,False
281,10781,5,False
282,10782,5,False
291,15312,1,True
300,10800,5,False
313,10813,5,False
314,10814,5,False
324,31677,1,True
332,10832,5,False
338,10838,5,False
341,10841,5,False
351,10851,5,False
352,10852,5,False
354,16745,1,True
357,16094,1,True
358,10858,5,False
372,10872,5,False
373,10873,5,False
375,10875,5,False
377,10877,5,False
382,10882,5,False
402,10902,5,False
404,10904,5,False
406,10906,5,False
410,10910,5,False
418,10918,5,False
424,10924,5,False
429,37072,1,True
445,10945,5,False
455,10955,5,False
458,10958,5,False
460,10960,5,False
461,10961,5,False
462,10962,5,False
463,10963,5,False
480,10980,5,False
482,10982,5,False
488,10988,5,False
490,10990,5,False
494,10994,5,False
505,11005,5,False
508,11008,5,False
510,11010,5,False
521,11021,5,False
532,17847,3,True
537,11037,5,False
548,11048,5,False
552,11052,5,False
557,10621,1,True
558,37293,1,True
563,11063,5,False
581,39369,2,True
588,11088,5,False
591,11091,5,False
594,11094,5,False
595,11095,5,False
614,11114,5,False
619,11119,5,False
620,11120,5,False
625,11125,5,False
630,16067,2,True
645,11145,5,False
664,11164,5,False
665,11165,5,False
670,11170,5,False
678,11178,5,False
681,11181,5,False
682,11182,5,False
685,11185,5,False
694,11194,5,False
700,11200,5,False
705,11205,5,False
714,11214,5,False
718,11218,5,False
734,11234,5,False
737,11237,5,False
741,11241,5,False
745,38296,2,True
748,11248,5,False
757,11257,5,False
761,11261,5,False
768,11268,5,False
769,11269,5,False
775,11275,5,False
789,11289,5,False
797,11297,5,False
799,11299,5,False
802,33916,1,True
806,11306,5,False
812,17738,1,True
815,11315,5,False
826,11326,5,False
847,11347,5,False
848,11348,5,False
855,11355,5,False
863,11363,5,False
864,11364,5,False
877,11377,5,False
880,11380,5,False
884,19246,1,True
889,11389,5,False
895,11395,5,False
903,11403,5,False
909,11409,5,False
914,11414,5,False
916,11416,5,False
918,11418,5,False
921,11421,5,False
923,11423,5,False
927,11427,5,False
929,11429,5,False
933,11433,5,False
934,11434,5,False
937,11437,5,False
954,11454,5,False
955,11455,5,False
957,11457,5,False
967,11467,5,False
968,11468,5,False
971,11471,5,False
973,11473,5,False
977,11477,5,False
983,20226,2,True
985,11485,5,False
995,11495,5,False
996,30875,2,True
998,11498,5,False
1010,11510,5,False
1017,11517,5,False
1022,11522,5,False
1023,11523,5,False
1026,11526,5,False
1032,11532,5,False
1036,11536,5,False
1042,11542,5,False
1050,11550,5,False
1059,11559,5,False
1064,19903,2,True
1071,11571,5,False
1072,11572,5,False
1095,11595,5,False
1099,11599,5,False
1100,17738,1,True
1113,11613,5,False
1114,11614,5,False
1126,13308,2,True
1133,11633,5,False
1140,11640,5,False
1158,11658,5,False
1161,11661,5,False
1163,11663,5,False
1177,11677,5,False
1180,11680,5,False
1184,11684,5,False
1185,11685,5,False
1198,11698,5,False
1202,11702,5,False
1205,11705,5,False
1208,11708,5,False
1213,15052,2,True
1216,11716,5,False
1225,11725,5,False
1235,11735,5,False
1252,11752,5,False
1255,11755,5,False
1258,11758,5,False
1266,11766,5,False
1272,11772,5,False
1274,11774,5,False
1277,11777,5,False
1284,11784,5,False
1285,11785,5,False
1286,11786,5,False
1288,11788,5,False
1289,11789,5,False
1291,11791,5,False
1314,11814,5,False
1318,11818,5,False
1320,11820,5,False
1332,11832,5,False
1350,11850,5,False
1355,11855,5,False
1360,11860,5,False
1361,17722,2,True
1363,11863,5,False
1364,11864,5,False
1372,11872,5,False
1376,11876,5,False
1377,11877,5,False
1386,11886,5,False
1387,11887,5,False
1404,11904,5,False
1406,11906,5,False
1408,11908,5,False
1420,11920,5,False
1422,11922,5,False
1423,11923,5,False
1434,11934,5,False
1436,11936,5,False
1451,11951,5,False
1453,11953,5,False
1461,11961,5,False
1468,11968,5,False
1477,11977,5,False
1483,11983,5,False
1489,11989,5,False
1496,11996,5,False
1501,12001,5,False
1509,12009,5,False
1527,12027,5,False
1532,12032,5,False
1534,12034,5,False
1547,12047,5,False
1550,12050,5,False
1564,12064,5,False
1573,12073,5,False
1580,12080,5,False
1582,12082,5,False
1585,12085,5,False
1594,12094,5,False
1596,12096,5,False
1598,12098,5,False
1603,12103,5,False
1611,12111,5,False
1612,12112,5,False
1613,12113,5,False
1616,12116,5,False
1622,12122,5,False
1624,36293,1,True
1638,12138,5,False
1646,12146,5,False
1666,17460,1,True
1669,16924,1,True
1675,12175,5,False
1684,15119,2,True
1685,12185,5,False
1690,12190,5,False
1696,12196,5,False
1697,12197,5,False
1699,12199,5,False
1708,12208,5,False
1716,12216,5,False
1717,12217,5,False
1718,12218,5,False
1720,12220,5,False
1727,12227,5,False
1728,12228,5,False
