index_id,candidate_id,confidence_score,need_judge
7,10507,5,False
10,10510,5,False
13,10513,5,False
15,-1,1,True
23,10523,5,False
24,10524,5,False
27,10527,5,False
32,10532,5,False
38,10538,5,False
40,10540,5,False
41,10541,5,False
46,10546,5,False
48,10548,5,False
49,10549,5,False
52,10552,5,False
53,10553,5,False
57,10557,5,False
58,-1,1,True
59,10559,5,False
61,10561,5,False
62,10562,5,False
66,10566,5,False
68,10568,5,False
70,10570,5,False
74,10574,5,False
76,10576,5,False
77,10577,5,False
78,10578,5,False
79,10579,5,False
81,10581,5,False
82,30578,5,False
85,10585,5,False
87,10587,5,False
89,-1,1,True
97,10597,5,False
98,10598,5,False
99,10599,5,False
100,10600,5,False
101,-1,1,True
104,10604,5,False
106,10606,5,False
108,10608,5,False
110,10610,5,False
118,10618,5,False
119,10619,5,False
120,10620,5,False
122,10622,5,False
132,10632,5,False
133,10633,5,False
136,10636,5,False
138,10638,5,False
140,10640,5,False
141,10641,5,False
142,10642,5,False
143,10643,5,False
144,10644,5,False
146,10646,5,False
148,10648,5,False
150,10650,5,False
152,10652,5,False
155,10655,5,False
156,10656,5,False
157,10657,5,False
158,10658,5,False
159,10659,5,False
162,10662,5,False
163,10663,5,False
165,10665,5,False
166,10666,5,False
167,10667,5,False
169,10669,5,False
180,10680,5,False
182,-1,1,True
183,10683,5,False
184,10684,5,False
185,10685,5,False
186,10686,5,False
188,10688,5,False
198,10698,5,False
199,10699,5,False
203,10703,5,False
205,10705,5,False
206,10706,5,False
207,10707,5,False
208,10708,5,False
211,10711,5,False
216,10716,5,False
218,10718,5,False
224,10724,5,False
227,10727,5,False
230,10730,5,False
233,10733,5,False
235,10735,5,False
237,10737,5,False
243,10743,5,False
244,10744,5,False
247,10747,5,False
248,10748,5,False
249,10749,5,False
254,10754,5,False
256,10756,5,False
258,10758,5,False
261,10761,5,False
263,10763,5,False
267,10767,5,False
268,10768,5,False
271,-1,1,True
272,10772,5,False
274,10774,5,False
278,10778,5,False
285,10785,5,False
287,10787,5,False
288,10788,5,False
294,10794,5,False
297,10797,5,False
298,10798,5,False
299,10799,5,False
304,10804,5,False
307,10807,5,False
309,10809,5,False
310,10810,5,False
311,10811,5,False
319,10819,5,False
320,10820,5,False
322,10822,5,False
325,10825,5,False
328,10828,5,False
333,10833,5,False
334,10834,5,False
339,10839,5,False
345,10845,5,False
348,10848,5,False
353,10853,5,False
356,10856,5,False
359,10859,5,False
361,10861,5,False
362,10862,5,False
366,10866,5,False
369,10869,5,False
370,10870,5,False
371,10871,5,False
374,10874,5,False
379,10879,5,False
381,10881,5,False
383,10883,5,False
384,10884,5,False
385,10885,5,False
386,10886,5,False
389,10889,5,False
391,10891,5,False
397,10897,5,False
401,10901,5,False
407,10907,5,False
411,10911,5,False
412,-1,1,True
413,10913,5,False
416,10916,5,False
417,10917,5,False
421,10921,5,False
425,10925,5,False
426,10926,5,False
427,10927,5,False
428,10928,5,False
432,10932,5,False
437,-1,1,True
438,10938,5,False
439,10939,5,False
441,10941,5,False
443,10943,5,False
448,10948,5,False
449,10949,5,False
452,10952,5,False
453,10953,5,False
454,-1,1,True
464,10964,5,False
465,10965,5,False
467,10967,5,False
468,10968,5,False
469,10969,5,False
470,10970,5,False
471,10971,5,False
472,10972,5,False
473,10973,5,False
474,10974,5,False
475,10975,5,False
476,10976,5,False
477,10977,5,False
481,10981,5,False
486,10986,5,False
491,10991,5,False
495,-1,1,True
496,10996,5,False
497,10997,5,False
498,-1,1,True
501,11001,5,False
506,11006,5,False
509,11009,5,False
511,11011,5,False
519,11019,5,False
520,11020,5,False
522,11022,5,False
525,11025,5,False
527,11027,5,False
530,11030,5,False
531,11031,5,False
538,11038,5,False
540,11040,5,False
543,11043,5,False
546,11046,5,False
547,11047,5,False
549,11049,5,False
550,11050,5,False
556,11056,5,False
560,11060,5,False
566,11066,5,False
573,11073,5,False
574,11074,5,False
575,11075,5,False
576,11076,5,False
579,11079,5,False
582,11082,5,False
583,11083,5,False
590,11090,5,False
592,11092,5,False
593,11093,5,False
599,11099,5,False
601,11101,5,False
602,11102,5,False
603,11103,5,False
605,11105,5,False
611,-1,1,True
616,11116,5,False
617,11117,5,False
618,11118,5,False
621,11121,5,False
628,11128,5,False
631,11131,5,False
632,11132,5,False
634,11134,5,False
637,11137,5,False
641,11141,5,False
642,11142,5,False
648,11148,5,False
649,11149,5,False
651,11151,5,False
653,11153,5,False
654,11154,5,False
656,11156,5,False
657,11157,5,False
658,11158,5,False
661,11161,5,False
666,11166,5,False
680,11180,5,False
683,11183,5,False
684,11184,5,False
691,11191,5,False
693,11193,5,False
696,11196,5,False
701,11201,5,False
707,11207,5,False
708,11208,5,False
709,11209,5,False
710,11210,5,False
716,11216,5,False
722,11222,5,False
724,11224,5,False
726,11226,5,False
727,11227,5,False
730,11230,5,False
731,11231,5,False
740,11240,5,False
742,11242,5,False
749,11249,5,False
753,11253,5,False
755,11255,5,False
756,11256,5,False
759,11259,5,False
760,11260,5,False
763,11263,5,False
766,11266,5,False
767,11267,5,False
770,11270,5,False
771,11271,5,False
774,11274,5,False
777,11277,5,False
779,11279,5,False
780,11280,5,False
781,11281,5,False
787,11287,5,False
790,11290,5,False
792,11292,5,False
793,11293,5,False
794,11294,5,False
795,11295,5,False
800,11300,5,False
801,11301,5,False
803,11303,5,False
805,11305,5,False
810,11310,5,False
813,11313,5,False
814,11314,5,False
816,11316,5,False
817,11317,5,False
818,11318,5,False
819,11319,5,False
820,11320,5,False
821,11321,5,False
824,11324,5,False
825,11325,5,False
828,11328,5,False
829,-1,1,True
832,11332,5,False
835,11335,5,False
837,11337,5,False
840,11340,5,False
845,11345,5,False
849,11349,5,False
850,11350,5,False
852,11352,5,False
853,11353,5,False
857,11357,5,False
858,11358,5,False
860,11360,5,False
861,11361,5,False
865,11365,5,False
