index_name,index_id,category
Parti_radical-démocratique,581,uncertain
Newell's_Old_Boys,588,uncertain
Cash_Money_Records,591,uncertain
Leader_de_la_Chambre_des_communes,594,uncertain
The_Turtles,595,uncertain
Scuderia_Italia,614,uncertain
Ecolo,619,uncertain
Ford,620,uncertain
Keane_(groupe),625,uncertain
Équipe_de_Slovénie_espoirs_de_football,630,uncertain
Live_Nation_Entertainment,645,uncertain
SK_Slavia_Prague,664,uncertain
Secrétaire_à_l'Éducation_des_États-Unis,665,uncertain
Yeah_Yeah_Yeahs,670,uncertain
Def_Squad,678,uncertain
Marvel_Entertainment,681,uncertain
Gouvernement_Prodi_I,682,uncertain
Stones_Throw_Records,685,uncertain
Groove_Armada,694,uncertain
Greater_Sydney_Rams,700,uncertain
