index_name,index_id,category
Stade_Jean-Bouin_(Angers),1945,buildings/places
Gare_de_Sonsveien,1980,buildings/places
Stade_de_la_Meinau,2052,buildings/places
Gare_de_Jåttåvågen,2124,buildings/places
Gare_de_Kjelsås,2139,buildings/places
Friends_Arena,2155,buildings/places
Gare_de_Novare,2212,buildings/places
Gare_de_Hauketo,2329,buildings/places
Cow_Palace,2459,buildings/places
Ullevi,2463,buildings/places
Civic_Arena_(Pittsburgh),2528,buildings/places
Stade_Libertadores_de_América,2660,buildings/places
Anfield,2970,buildings/places
Cathédrale_du_Wawel,3017,buildings/places
Gare_d'Egersund,3052,buildings/places
Selhurst_Park,3197,buildings/places
Gare_de_Sandnes_sentrum,3498,buildings/places
Gare_de_Vakås,3816,buildings/places
Gare_de_Hamar,3935,buildings/places
Stade_de_Wembley_(1923),3949,buildings/places
