index_name,index_id,category
Steve_Perry,2324,Person
Gerald_Green,2326,Person
Renate_Künast,2328,Person
Graydon_Nicholas,2333,Person
Richard_Garriott,2335,Person
Micheál_Martin,2336,Person
Mac_Miller,2337,Person
Clayton_Anderson,2344,Person
Carlo_Maria_Martini,2349,Person
Boris_Eltsine,2352,Person
Jyrki_Katainen,2354,Person
Luisa_Fernanda_Rudi,2357,Person
Victoria_de_Bade,2360,Person
Béchara_el-Khoury,2361,Person
Humbert_III_de_Savoie,2362,Person
John_Ashcroft,2364,Person
Kenneth_Edmonds,2367,Person
Raymond_Bachand,2372,Person
Carrie_Underwood,2376,Person
Tony_Hrkac,2381,Person
