index_name,index_id,category
Muddy_Waters,906,Person
Mustapha_Ben_Jaafar,912,Person
Patrick_O'Sullivan,915,Person
Jon_Buckland,930,Person
Mart_Laar,931,Person
Emerson_Fittipaldi,935,Person
Walter_M._Schirra,938,Person
Gerrit_Zalm,939,Person
Samuel_Skinner,942,Person
Sergueï_Bazarevitch,943,Person
Lone_(musicien),947,Person
Sophie_de_Grèce_(1938),949,Person
Mohombi,950,Person
Shontayne_Hape,951,Person
Grandson,956,Person
Marie-Thérèse_d'Autriche_(1638-1683),960,Person
Georges_Canguilhem,964,Person
Konstantin_Barouline,965,Person
Kid_Cudi,966,Person
Stephen_K._Robinson,976,Person
