index_name,index_id,category
Mark_Rutte,708,Person
Karl_Jaspers,709,Person
Howard_Ashman,710,Person
Jiří_Dopita,716,Person
Alekseï_Ielisseïev,722,Person
Filip_Vujanović,724,Person
Joaquim_António_de_Aguiar,726,Person
Gilles_Deleuze,727,Person
Tadeusz_Mazowiecki,730,Person
Paul_Maurice,731,Person
Franz_Josef_Jung,740,Person
Gaston_Flosse,742,Person
Jess_Glynne,749,Person
Georg_Lukács,753,Person
Rodrigo_Amarante,755,Person
Shirley_Bassey,756,Person
John_Kerry,759,Person
Tycho_(musicien),760,Person
Stephen_Harper,763,Person
Alexandra_Pavlovna_de_Russie,766,Person
