index_name,index_id,category
Fédération_royale_espagnole_de_football,4244,uncertain
Fontana_Records,4265,uncertain
AEL_Larissa,4268,uncertain
Red_Bull_Salzbourg,4273,uncertain
Nightwish,4276,uncertain
Club_Social_y_Deportivo_Colo-Colo,4281,uncertain
Club_Atlético_Lanús,4301,uncertain
Keel,4312,uncertain
Valenciennes_Football_Club,4314,uncertain
Équipe_du_Danemark_de_football,4324,uncertain
Saint_Etienne_(groupe),4336,uncertain
Parti_conservateur_du_Canada,4337,uncertain
The_Raconteurs,4339,uncertain
Neuchâtel_Xamax,4352,uncertain
World_Championship_Wrestling,4354,uncertain
Getafe_Club_de_Fútbol,4363,uncertain
Sporting_Club_de_Bastia,4366,uncertain
Avex_Trax,4368,uncertain
Argent_(groupe),4378,uncertain
Cavaliers_de_Cleveland,4381,uncertain
