index_name,index_id,category
Brigham_(Québec),3523,place
Cugnasco-Gerra,3534,place
Terrebonne_(circonscription_provinciale),3542,place
Nova_Santa_Marta,3544,place
Couronne_d'Aragon,3552,place
Sainte-Béatrix_(Québec),3559,place
L'Islet_(municipalité),3567,place
Rimini,3568,place
Saint-Eustache_(Québec),3570,place
Rabat,3576,place
Université_de_Toronto,3577,place
Pondichéry,3578,place
Moré,3585,place
Comté_d'York_(Nouveau-Brunswick),3587,place
Östersund,3589,place
Le_Fjord-du-Saguenay,3590,place
Groulx_(circonscription_provinciale),3592,place
Hinchinbrooke,3602,place
Lanaudière,3610,place
L'Islet_(municipalité_régionale_de_comté),3615,place
