index_name,index_id,category
Gare_de_Nittedal,71,buildings/places
Gare_de_Bordeaux-Saint-Jean,330,buildings/places
Stade_Maracanã,422,buildings/places
Stade_du_Pacaembu,515,buildings/places
Estadio_Nacional_(Lima),570,buildings/places
Stade_Jan-Breydel,586,buildings/places
Stade_de_la_Libération,615,buildings/places
Staples_Center,692,buildings/places
Cathédrale_de_la_Sainte-Trinité_de_Dresde,776,buildings/places
Gare_de_Bayonne,907,buildings/places
Ligne_de_Drammen,970,buildings/places
Stade_de_Feyenoord,1048,buildings/places
Ligne_du_Sørland,1111,buildings/places
Stade_Santiago_Bernabéu,1268,buildings/places
Gare_de_Jørstad,1358,buildings/places
Gare_de_Holmlia,1440,buildings/places
Ligne_de_Meråker,1444,buildings/places
White_Hart_Lane,1605,buildings/places
Gare_de_Drammen,1792,buildings/places
Estadio_Nacional_de_Chile,1920,buildings/places
