index_name,index_id,category
Hitman_(série),1329,creative_work
Anthology_2,1330,creative_work
Elastic_Heart,1333,creative_work
Hidden_Treasures,1342,creative_work
The_Sound_of_Madness,1343,creative_work
Femme_Fatale_(album),1345,creative_work
My_Love_Is_Your_Love,1348,creative_work
Nightcall,1354,creative_work
Moonchild_(chanson_de_King_Crimson),1356,creative_work
Ainsi_soit_je...,1359,creative_work
PlayStation_Portable,1371,creative_work
C++,1375,creative_work
Motivation_(chanson_de_Sum_41),1378,creative_work
Warrior_(album),1385,creative_work
"Anyway,_Anyhow,_Anywhere",1388,creative_work
Just_Like_Heaven_(chanson),1389,creative_work
Halo_(série),1391,creative_work
Noise_rock,1392,creative_work
I_Can_See_for_Miles,1393,creative_work
Call_of_Duty_(série),1395,creative_work
