index_name,index_id,category
Bataille_des_Dardanelles,2325,event
Coupe_de_la_Ligue_anglaise_de_football_2015-2016,2369,event
Élections_législatives_danoises_de_2011,2378,event
Soyouz_TMA-14M,2380,event
Expédition_21_(ISS),2415,event
Guerre_d'Algérie,2432,event
Bataille_de_Monmouth,2515,event
STS-93,2538,event
Soyouz_TMA-21,2614,event
Assemblée_constituante_tunisienne_de_2011,2669,event
Coupe_de_Suisse_de_football_2009-2010,2698,event
Soyouz_TMA-18,2761,event
Exposition_universelle_de_1970,2847,event
Coupe_des_clubs_champions_européens_1958-1959,2848,event
Coupe_de_la_Ligue_française_de_football_2006-2007,2860,event
Championnat_de_Bulgarie_de_football,2875,event
Soyouz_TMA-09M,2881,event
Poche_de_Falaise,2996,event
Championnat_de_Norvège_de_football,3016,event
Seconde_Guerre_des_Boers,3062,event
