index_name,index_id,category
Blues_traditionnel,2421,creative_work
Fuel_(chanson),2423,creative_work
Lotus_(album_de_Christina_Aguilera),2429,creative_work
Come_On_Over_(chanson_de_Shania_Twain),2433,creative_work
Fantasy!_Jūichi,2437,creative_work
Gran_Turismo_(série),2444,creative_work
Dark_Passion_Play,2445,creative_work
Toxicity_(chanson),2450,creative_work
Lick_It_Up_(chanson),2451,creative_work
Metalcore_mélodique,2452,creative_work
Any_Time_at_All,2453,creative_work
Who_You_Are_(album),2457,creative_work
Swahili,2460,creative_work
Ain't_No_Other_Man,2468,creative_work
China_Girl_(chanson),2469,creative_work
Careless_Whisper,2473,creative_work
God's_Son,2474,creative_work
In_Love_and_Death,2476,creative_work
Fearless_(album_de_Jazmine_Sullivan),2477,creative_work
Nissan_Murano,2484,creative_work
